anio,provincia_id,carrera_grupo,estudiantes_total,estudiantes_varones,estudiantes_mujeres,nuevos_inscriptos_total,nuevos_inscriptos_varones,nuevos_inscriptos_mujeres,egresados_total,egresados_varones,egresados_mujeres,estudiantes_mujeres_pct,estudiantes_grupo_pct
2011,14,Sociales,1216.0,493.0,723.0,768.0,303.0,465.0,70.0,25.0,45.0,0.5945723684210527,0.0343949765231657
2011,14,Tecnologia,2163.0,1878.0,285.0,1242.0,1062.0,180.0,22.0,21.0,1.0,0.1317614424410541,0.0611811959042824
2011,22,Arquitectura,2302.0,1161.0,1141.0,466.0,233.0,233.0,82.0,37.0,45.0,0.4956559513466551,0.04636455186304129
2011,22,Arte,1318.0,592.0,726.0,258.0,126.0,132.0,90.0,36.0,54.0,0.5508345978755691,0.026545820745216515
2011,22,Derecho,12557.0,5801.0,6756.0,2573.0,1143.0,1430.0,869.0,337.0,532.0,0.5380265987098829,0.2529103726082578
2011,22,Economicas,10656.0,4695.0,5961.0,2298.0,1079.0,1219.0,569.0,268.0,301.0,0.5594031531531531,0.2146223564954683
2011,22,Educacion,773.0,158.0,615.0,295.0,70.0,225.0,124.0,21.0,103.0,0.795601552393273,0.015568982880161128
2011,22,Exactas,655.0,303.0,352.0,207.0,95.0,112.0,16.0,6.0,10.0,0.5374045801526718,0.013192346424974823
2011,22,Idiomas,4.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5,8.056394763343404e-05
2011,22,Ingenieria,2539.0,2200.0,339.0,661.0,554.0,107.0,97.0,85.0,12.0,0.13351713272942103,0.05113796576032226
2011,22,Naturales,5479.0,3077.0,2402.0,1069.0,523.0,546.0,275.0,175.0,100.0,0.438401168096368,0.11035246727089627
2011,22,Otros,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,12.0,,0.0
2011,22,Policial,948.0,315.0,633.0,236.0,85.0,151.0,77.0,28.0,49.0,0.6677215189873418,0.01909365558912387
2011,22,Salud,7411.0,2257.0,5154.0,1995.0,594.0,1401.0,561.0,158.0,403.0,0.6954527054378626,0.14926485397784492
2011,22,Sociales,1176.0,478.0,698.0,348.0,163.0,185.0,80.0,28.0,52.0,0.5935374149659864,0.023685800604229607
2011,22,Tecnologia,3832.0,2646.0,1186.0,796.0,604.0,192.0,155.0,92.0,63.0,0.3094989561586639,0.0771802618328298
2011,26,Derecho,2533.0,977.0,1556.0,564.0,204.0,360.0,59.0,17.0,42.0,0.6142913541255428,0.19841767194109353
2011,26,Economicas,4245.0,1304.0,2941.0,1014.0,327.0,687.0,80.0,26.0,54.0,0.6928150765606595,0.33252389158702805
2011,26,Exactas,484.0,204.0,280.0,122.0,57.0,65.0,18.0,5.0,13.0,0.5785123966942148,0.037913206955976816
2011,26,Ingenieria,938.0,686.0,252.0,228.0,166.0,62.0,41.0,30.0,11.0,0.26865671641791045,0.07347642174526085
2011,26,Naturales,1530.0,492.0,1038.0,446.0,172.0,274.0,75.0,23.0,52.0,0.6784313725490196,0.11984960050133166
2011,26,Psicologia,424.0,40.0,384.0,57.0,6.0,51.0,17.0,1.0,16.0,0.9056603773584906,0.03321322262259126
2011,26,Salud,478.0,84.0,394.0,188.0,30.0,158.0,53.0,10.0,43.0,0.8242677824267782,0.03744320852263826
2011,26,Sociales,967.0,402.0,565.0,352.0,155.0,197.0,19.0,8.0,11.0,0.5842812823164426,0.07574808083973053
2011,26,Tecnologia,1167.0,912.0,255.0,332.0,249.0,83.0,40.0,32.0,8.0,0.2185089974293059,0.09141469528434905
2011,30,Economicas,609.0,290.0,319.0,99.0,37.0,62.0,52.0,23.0,29.0,0.5238095238095238,0.18465736810187994
2011,30,Educacion,4.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.5,0.001212856276531231
2011,30,Idiomas,98.0,17.0,81.0,19.0,2.0,17.0,2.0,0.0,2.0,0.826530612244898,0.02971497877501516
2011,30,Psicologia,405.0,119.0,286.0,56.0,16.0,40.0,29.0,8.0,21.0,0.7061728395061728,0.12280169799878714
2011,30,Religion,370.0,351.0,19.0,56.0,51.0,5.0,35.0,35.0,0.0,0.051351351351351354,0.11218920557913888
2011,30,Salud,1446.0,547.0,899.0,237.0,78.0,159.0,150.0,49.0,101.0,0.6217150760719226,0.43844754396604
2011,30,Sociales,132.0,48.0,84.0,26.0,8.0,18.0,12.0,4.0,8.0,0.6363636363636364,0.04002425712553062
2011,30,Tecnologia,234.0,216.0,18.0,52.0,44.0,8.0,35.0,32.0,3.0,0.07692307692307693,0.07095209217707701
2011,34,Derecho,63.0,23.0,40.0,0.0,0.0,0.0,27.0,7.0,20.0,0.6349206349206349,0.008101851851851851
2011,34,Economicas,2733.0,1174.0,1559.0,922.0,415.0,507.0,53.0,24.0,29.0,0.5704354189535309,0.35146604938271603
2011,34,Educacion,108.0,35.0,73.0,0.0,0.0,0.0,24.0,6.0,18.0,0.6759259259259259,0.013888888888888888
2011,34,Exactas,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00051440329218107
2011,34,Ingenieria,619.0,386.0,233.0,163.0,91.0,72.0,10.0,6.0,4.0,0.3764135702746365,0.07960390946502058
2011,34,Naturales,965.0,477.0,488.0,320.0,138.0,182.0,50.0,17.0,33.0,0.505699481865285,0.12409979423868313
2011,34,Psicologia,860.0,130.0,730.0,294.0,59.0,235.0,24.0,16.0,8.0,0.8488372093023255,0.11059670781893004
2011,34,Salud,2211.0,577.0,1634.0,705.0,220.0,485.0,131.0,37.0,94.0,0.7390321121664405,0.28433641975308643
2011,34,Sociales,73.0,15.0,58.0,0.0,0.0,0.0,2.0,1.0,1.0,0.7945205479452054,0.009387860082304527
2011,34,Tecnologia,140.0,83.0,57.0,0.0,0.0,0.0,58.0,34.0,24.0,0.40714285714285714,0.01800411522633745
2011,38,Deporte,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.00028492057838877413
2011,38,Economicas,3360.0,1526.0,1834.0,945.0,439.0,506.0,16.0,6.0,10.0,0.5458333333333333,0.23933328584657027
2011,38,Educacion,2516.0,573.0,1943.0,672.0,209.0,463.0,66.0,13.0,53.0,0.7722575516693164,0.17921504380653894
2011,38,Exactas,668.0,280.0,388.0,197.0,80.0,117.0,1.0,1.0,0.0,0.5808383233532934,0.04758173659092528
2011,38,Ingenieria,494.0,396.0,98.0,161.0,132.0,29.0,0.0,0.0,0.0,0.19838056680161945,0.03518769143101361
2011,38,Naturales,1299.0,704.0,595.0,365.0,210.0,155.0,18.0,8.0,10.0,0.45804464973056197,0.0925279578317544
2011,38,Psicologia,50.0,4.0,46.0,10.0,1.0,9.0,0.0,0.0,0.0,0.92,0.0035615072298596766
2011,38,Salud,353.0,121.0,232.0,107.0,41.0,66.0,6.0,3.0,3.0,0.6572237960339944,0.025144241042809316
2011,38,Sociales,1995.0,796.0,1199.0,489.0,245.0,244.0,46.0,12.0,34.0,0.6010025062656642,0.1421041384714011
2011,38,Tecnologia,3300.0,2400.0,900.0,756.0,597.0,159.0,48.0,38.0,10.0,0.2727272727272727,0.23505947717073866
2011,42,Derecho,1206.0,404.0,802.0,313.0,112.0,201.0,50.0,21.0,29.0,0.6650082918739635,0.1735251798561151
2011,42,Economicas,1542.0,659.0,883.0,302.0,124.0,178.0,72.0,33.0,39.0,0.5726329442282749,0.2218705035971223
2011,42,Educacion,644.0,80.0,564.0,288.0,24.0,264.0,10.0,1.0,9.0,0.8757763975155279,0.09266187050359712
2011,42,Exactas,349.0,161.0,188.0,87.0,52.0,35.0,7.0,3.0,4.0,0.5386819484240688,0.050215827338129494
2011,42,Idiomas,32.0,3.0,29.0,0.0,0.0,0.0,1.0,0.0,1.0,0.90625,0.00460431654676259
2011,42,Ingenieria,306.0,280.0,26.0,72.0,63.0,9.0,19.0,18.0,1.0,0.08496732026143791,0.04402877697841727
2011,42,Naturales,2017.0,1169.0,848.0,287.0,163.0,124.0,109.0,68.0,41.0,0.42042637580565195,0.2902158273381295
2011,42,Psicologia,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00014388489208633093
2011,42,Salud,233.0,58.0,175.0,0.0,0.0,0.0,7.0,3.0,4.0,0.7510729613733905,0.033525179856115105
2011,42,Sociales,162.0,47.0,115.0,38.0,12.0,26.0,9.0,1.0,8.0,0.7098765432098766,0.02330935251798561
2011,42,Tecnologia,458.0,354.0,104.0,141.0,114.0,27.0,29.0,19.0,10.0,0.22707423580786026,0.06589928057553956
2011,46,Arquitectura,1011.0,607.0,404.0,126.0,76.0,50.0,30.0,7.0,23.0,0.39960435212660733,0.02853030816119201
2011,46,Arte,887.0,559.0,328.0,247.0,157.0,90.0,0.0,0.0,0.0,0.3697857948139797,0.025031041878315837
2011,46,Derecho,6160.0,2625.0,3535.0,587.0,244.0,343.0,96.0,42.0,54.0,0.5738636363636364,0.1738345185686872
2011,46,Economicas,5288.0,2596.0,2692.0,722.0,355.0,367.0,120.0,49.0,71.0,0.5090771558245083,0.14922677503104187
2011,46,Educacion,2887.0,621.0,2266.0,815.0,192.0,623.0,9.0,1.0,8.0,0.7848978178039487,0.08147082063438311
2011,46,Exactas,90.0,49.0,41.0,9.0,7.0,2.0,3.0,1.0,2.0,0.45555555555555555,0.0025397900440230275
2011,46,Idiomas,254.0,86.0,168.0,54.0,20.0,34.0,4.0,0.0,4.0,0.6614173228346457,0.0071678519020205445
2011,46,Ingenieria,761.0,650.0,111.0,175.0,151.0,24.0,18.0,18.0,0.0,0.14586070959264127,0.021475335816683597
2011,46,Naturales,1732.0,979.0,753.0,370.0,198.0,172.0,37.0,21.0,16.0,0.43475750577367206,0.04887684840275426
2011,46,Policial,885.0,369.0,516.0,161.0,61.0,100.0,3.0,3.0,0.0,0.5830508474576271,0.02497460209955977
2011,46,Psicologia,1574.0,426.0,1148.0,256.0,93.0,163.0,112.0,22.0,90.0,0.7293519695044473,0.04441810588102495
2011,46,Religion,68.0,43.0,25.0,68.0,43.0,25.0,0.0,0.0,0.0,0.36764705882352944,0.0019189524777062873
2011,46,Salud,6077.0,1966.0,4111.0,893.0,297.0,596.0,406.0,126.0,280.0,0.6764851077834457,0.17149226775031043
2011,46,Sociales,1500.0,677.0,823.0,249.0,110.0,139.0,39.0,20.0,19.0,0.5486666666666666,0.04232983406705046
2011,46,Tecnologia,6262.0,4650.0,1612.0,1183.0,899.0,284.0,97.0,76.0,21.0,0.25742574257425743,0.17671294728524664
2011,50,Arquitectura,2867.0,1182.0,1685.0,392.0,177.0,215.0,249.0,64.0,185.0,0.5877223578653645,0.0568555903700472
2011,50,Arte,3110.0,1100.0,2010.0,576.0,193.0,383.0,132.0,40.0,92.0,0.6463022508038585,0.06167453297901876
2011,50,Deporte,33.0,17.0,16.0,0.0,0.0,0.0,1.0,1.0,0.0,0.48484848484848486,0.000654424304922064
2011,50,Derecho,7747.0,2894.0,4853.0,1208.0,503.0,705.0,399.0,138.0,261.0,0.6264360397573254,0.1536310633403403
2011,50,Economicas,11162.0,5641.0,5521.0,2498.0,1336.0,1162.0,1042.0,506.0,536.0,0.4946246192438631,0.22135406338000238
2011,50,Educacion,1992.0,489.0,1503.0,591.0,153.0,438.0,206.0,52.0,154.0,0.7545180722891566,0.039503430769840954
2011,50,Exactas,590.0,366.0,224.0,178.0,101.0,77.0,76.0,55.0,21.0,0.37966101694915255,0.011700313330424782
2011,50,Idiomas,646.0,88.0,558.0,156.0,25.0,131.0,41.0,2.0,39.0,0.8637770897832817,0.01281085154483798
2011,50,Ingenieria,2226.0,1867.0,359.0,360.0,296.0,64.0,162.0,135.0,27.0,0.16127583108715185,0.04414389402292468
2011,50,Letras,84.0,10.0,74.0,43.0,6.0,37.0,1.0,0.0,1.0,0.8809523809523809,0.0016658073216197992
2011,50,Naturales,2387.0,1178.0,1209.0,395.0,204.0,191.0,168.0,92.0,76.0,0.5064935064935064,0.04733669138936263
2011,50,Otros,275.0,95.0,180.0,136.0,46.0,90.0,0.0,0.0,0.0,0.6545454545454545,0.005453535874350534
2011,50,Policial,498.0,138.0,360.0,162.0,52.0,110.0,12.0,3.0,9.0,0.7228915662650602,0.009875857692460238
2011,50,Psicologia,3431.0,488.0,2943.0,672.0,107.0,565.0,250.0,24.0,226.0,0.8577674147478869,0.06804029667235156
2011,50,Salud,7019.0,2376.0,4643.0,1362.0,354.0,1008.0,769.0,243.0,526.0,0.6614902407750392,0.1391940665529687
2011,50,Sociales,4803.0,1952.0,2851.0,1056.0,503.0,553.0,318.0,131.0,187.0,0.5935873412450552,0.09524848292547496
2011,50,Tecnologia,1556.0,1353.0,203.0,251.0,229.0,22.0,79.0,68.0,11.0,0.13046272493573266,0.030857097529052472
2011,54,Arquitectura,297.0,180.0,117.0,59.0,28.0,31.0,0.0,0.0,0.0,0.3939393939393939,0.011533980582524271
2011,54,Arte,669.0,225.0,444.0,100.0,33.0,67.0,5.0,0.0,5.0,0.6636771300448431,0.025980582524271843
2011,54,Derecho,1785.0,818.0,967.0,513.0,228.0,285.0,146.0,55.0,91.0,0.5417366946778711,0.06932038834951457
2011,54,Economicas,8110.0,3530.0,4580.0,1975.0,867.0,1108.0,323.0,121.0,202.0,0.5647348951911221,0.3149514563106796
