anio,carrera_grupo,carrera_nombre,estudiantes_total,estudiantes_varones,estudiantes_mujeres,nuevos_inscriptos_total,nuevos_inscriptos_varones,nuevos_inscriptos_mujeres,egresados_total,egresados_varones,egresados_mujeres,estudiantes_mujeres_pct,inscripciones_mujeres_pct,estudiantes_hombres_pct
2011,Educacion,Psicologia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,
2011,Educacion,Relaciones Internacionales,140.0,52.0,88.0,53.0,22.0,31.0,10.0,4.0,6.0,0.6285714285714286,0.5849056603773585,0.37142857142857144
2011,Educacion,Sanidad y Saneamiento Ambiental,1414.0,304.0,1110.0,393.0,119.0,274.0,88.0,14.0,74.0,0.785007072135785,0.6972010178117048,0.214992927864215
2011,Educacion,Sociologia,117.0,47.0,70.0,115.0,52.0,63.0,9.0,5.0,4.0,0.5982905982905983,0.5478260869565217,0.4017094017094017
2011,Exactas,Astronomia,851.0,338.0,513.0,176.0,104.0,72.0,35.0,13.0,22.0,0.6028202115158637,0.4090909090909091,0.3971797884841363
2011,Exactas,BioIngenieria,4662.0,1747.0,2915.0,722.0,279.0,443.0,224.0,84.0,140.0,0.6252681252681253,0.6135734072022161,0.37473187473187475
2011,Exactas,Biologia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,
2011,Exactas,Bioquimica,76.0,15.0,61.0,46.0,12.0,34.0,3.0,1.0,2.0,0.8026315789473685,0.7391304347826086,0.19736842105263158
2011,Exactas,Bromatologia,14.0,4.0,10.0,0.0,0.0,0.0,5.0,1.0,4.0,0.7142857142857143,,0.2857142857142857
2011,Exactas,Ciencia Politica,6.0,6.0,0.0,6.0,5.0,1.0,2.0,2.0,0.0,0.0,0.16666666666666666,1.0
2011,Exactas,Ciencias del Ambiente y Recursos Naturales,188.0,134.0,54.0,40.0,27.0,13.0,1.0,1.0,0.0,0.2872340425531915,0.325,0.7127659574468085
2011,Exactas,Estadistica,1146.0,429.0,717.0,224.0,121.0,103.0,78.0,24.0,54.0,0.6256544502617801,0.45982142857142855,0.3743455497382199
2011,Exactas,Filosofia,484.0,178.0,306.0,134.0,53.0,81.0,34.0,9.0,25.0,0.6322314049586777,0.6044776119402985,0.3677685950413223
2011,Exactas,Fisica,3114.0,2268.0,846.0,593.0,416.0,177.0,184.0,123.0,61.0,0.27167630057803466,0.2984822934232715,0.7283236994219653
2011,Exactas,Geologia,4845.0,2779.0,2066.0,1165.0,657.0,508.0,145.0,75.0,70.0,0.4264189886480908,0.43605150214592275,0.5735810113519092
2011,Exactas,Ingenieria  Electrica,7.0,6.0,1.0,7.0,6.0,1.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.8571428571428571
2011,Exactas,Ingenieria Electromecanica,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,,
