universidad_nombre,institucion_nombre,institucion_direccion,api,coordenadas,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,lat,lon,departamento_id,departamento_nombre,latitud,longitud,municipio_id,municipio_nombre,provincia_id,provincia_nombre,carrera_grupo,carrera_nombre
"Universidad de San Isidro ""Dr. Plácido Marín""","Universidad de San Isidro ""Dr. Plácido Marín""",Av. del Libertador 17175,,"-34.4617796,-58.5203287",,,,,,,,,,,,,,,,,,,,,,-34.4617796,-58.5203287,6756.0,San Isidro,-34.4617796,-58.5203287,60756.0,San Isidro,06,Buenos Aires,,
Universidad del Aconcagua,Universidad del Aconcagua,Catamarca 147,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Catamarca 147&provincia=50,"-32.889702977248035,-68.836339205674",,,,,,,,,,,,,,,,,,,,,,-32.889702977248035,-68.836339205674,50007.0,Capital,-32.889702977248035,-68.836339205674,500007.0,Capital,50,Mendoza,"Tecnologia,Educación,Ingeniería,Sociales,Economicas,Arte,Psicologia,Idiomas,Derecho,Policial,Salud","Formacion Docente para el nivel medio y/o superíor Universitario y no Universitario,Inglés,Notariado,Comercio Exteríor,Higiene y Seguridad Industrial,Bibliotecologia y Documentacion,Ciencias de la Educación,Sociologia,Educación Fisica y Deportes,Sociología,Fonoaudiología,Turismo y Hotelería,Formación Docente para el nivel medio y/o superior universitario y no universitario - Ciencias Humanas,Computación, Sistemas e Informática,Accidentologia,Contador Publico Nacional,Comercio Exterior,Administración Hospitalaria y de Sistemas de Salud,Radiología y Diagnóstico por Imágenes,Enfermería,Formacion Docente de Nivel Superíor y Universitario,Ingeniería en Sistemas,Ingeniería en Telecomunicaciones,Comercializacion y Marketing,Psicologia,Diseño Grafico,Enfermeria,Fonoaudiologia,Economía,Contador Público Nacional,Administración Hotelera,Psicología,Obstetricia,Turismo y Hoteleria,Trabajo Social,Publicidad,Relaciones Publicas,Bibliotecología y Documentación,Gestion y Administración de Empresas,Derecho y Ciencias Jurídicas,Gestión y Administración de Empresas,Criminologia,Accidentología,Comercialización y Marketing,Formacion Docente para el nivel medio y/o superíor Universitario y no,Medicina,Educación Física y Deportes,Formación Docente de Nivel Superior y Universitario,Ingles,Abogacía,Derecho y Ciencias Juridicas,Relaciones Públicas,Radiologia y Diagnostico por Imagenes,Diseño Gráfico,Economia,Criminología,Abogacia"
Universidad del CEMA,Universidad del CEMA,Av. Córdoba 374,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Córdoba 374&provincia=2,"-34.598493489787174,-58.37246198342438",,,,,,,,,,,,,,,,,,,,,,-34.598493489787174,-58.37246198342439,2007.0,Comuna 1,-34.598493489787174,-58.37246198342439,,,02,Ciudad Autónoma de Buenos Aires,"Tecnologia,Sociales,Naturales,Derecho,Exactas,Economicas","Administración de Empresas Agropecuarias,Ciencia Politica,Abogacía,Ingeniería en Sistemas,Comercializacion y Marketing,Finanzas y Negocios,Gestion y Administración de Empresas,Gestión y Administración de Empresas,Relaciones Laborales,Ciencia Política,Economía,Computación, Sistemas e Informática,Comercialización y Marketing,Economia,Relaciones Internacionales,Contador Público Nacional,Contador Publico Nacional,Carrera No Definida"
Universidad del Centro Educativo Latinoamericano,Universidad del Centro Educativo Latinoamericano,Av. Pellegrini 1332,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Pellegrini 1332&provincia=82,"-32.9565784932488,-60.6441042488731",,,,,,,,,,,,,,,,,,,,,,-32.9565784932488,-60.6441042488731,82084.0,Rosario,-32.9565784932488,-60.6441042488731,,,82,Santa Fe,"Tecnologia,Salud,Educación,Ingeniería,Idiomas,Naturales,Derecho,Economicas","Inglés,Tecnologia e Ingeniería en Alimentos,Ciencias de la Educación,Contador Publico Nacional,Ingeniería en Sistemas,Comercializacion y Marketing,Martillero Público,Economía,Tecnología e Ingeniería en Alimentos,Contador Público Nacional,Administración Hotelera,Carrera No Definida,Administración y Gestión Ambiental,Nutrición,Gestion y Administración de Empresas,Derecho y Ciencias Jurídicas,Gestión y Administración de Empresas,Comercialización y Marketing,Nutricion,Ingles,Abogacía,Martillero Publico,Relaciones Laborales,Economia,Abogacia,Contabilidad"
Universidad del Cine,Universidad del Cine,Dr. José Modesto Giuffra 330,,"-34.617846,-58.3728309",,,,,,,,,,,,,,,,,,,,,,-34.617846,-58.372830900000004,2007.0,Comuna 1,-34.617846,-58.372830900000004,,,02,Ciudad Autónoma de Buenos Aires,"Sociales,Arte,Educación","Formacion Docente para el nivel medio y/o superíor Universitario y no Universitario,Comunicacion Social,Artes Audiovisuales,Formación Docente para el nivel medio y/o superior universitario y no universitario - Ciencias Sociales,Comunicación Social,Formación Docente para el nivel medio y/o superior universitario y no universitario - Ciencias Humanas,Formacion Docente para el nivel medio y/o superíor Universitario y no,Carrera No Definida"
Universidad del Congreso,Universidad del Congreso,Maipú 942,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Maipú 942&provincia=2,"-34.597041549129365,-58.37693167637579",,,,,,,,,,,,,,,,,,,,,,-34.597041549129365,-58.37693167637579,2007.0,Comuna 1,-34.597041549129365,-58.37693167637579,,,02,Ciudad Autónoma de Buenos Aires,,
Universidad del Este,Universidad del Este,Calle 2 684,,"-34.9072705,-57.9504423",,,,,,,,,,,,,,,,,,,,,,-34.9072705,-57.95044229999999,6441.0,La Plata,-34.9072705,-57.95044229999999,60441.0,La Plata,06,Buenos Aires,"Educación,Arte,Derecho,Arquitectura,Economicas","Inglés,Ciencias de la Educación,Diseño de Interíores,Turismo y Hotelería,Contador Publico Nacional,Diseño Textil y de Indumentaria,Formacion Docente de Nivel Superíor y Universitario,Comercializacion y Marketing,Diseño Grafico,Contador Público Nacional,Publicidad,Relaciones Publicas,Gestion y Administración de Empresas,Derecho y Ciencias Jurídicas,Gestión y Administración de Empresas,Comercialización y Marketing,Formación Docente de Nivel Superior y Universitario,Diseño de Interiores,Abogacía,Derecho y Ciencias Juridicas,Relaciones Públicas,Diseño Gráfico,Abogacia,Contabilidad"
Universidad del Museo Social Argentino,Universidad del Museo Social Argentino,Av. Corrientes 1723,,"-34.6047031,-58.3922666",,,,,,,,,,,,,,,,,,,,,,-34.6047031,-58.3922666,2021.0,Comuna 3,-34.6047031,-58.3922666,,,02,Ciudad Autónoma de Buenos Aires,"Educación,Sociales,Economicas,Arte,Psicologia,Idiomas,Naturales,Derecho,Arquitectura,Salud","Artes Plasticas,Formacion Docente para el nivel medio y/o superíor Universitario y no Universitario,Filosofia,Artes Audiovisuales,Inglés,Comercio Exteríor,Bibliotecologia y Documentacion,Ciencias de la Educación,Diseño de Interíores,Fonoaudiología,Paisajismo, Jardinería y Floricultura,Periodismo,Formación Docente para el nivel medio y/o superior universitario y no universitario - Ciencias Humanas,Contador Publico Nacional,Comercio Exterior,Comercializacion y Marketing,Martillero Público,Finanzas y Negocios,Psicologia,Fonoaudiologia,Italiano,Contador Público Nacional,Psicología,Turismo y Hoteleria,Artes Plásticas,Trabajo Social,Períodismo,Bibliotecología y Documentación,Administración Pública,Gestion y Administración de Empresas,Gestión y Administración de Empresas,Derecho y Ciencias Jurídicas,Psicopedagogía,Formacion Docente para el nivel medio y/o superíor Universitario y no,Psicopedagogia,Ingles,Abogacía,Filosofía,Derecho y Ciencias Juridicas,Martillero Publico,Paisajismo, Jardineria y Floricultura,Frances,Relaciones Laborales,Abogacia,Servicio Social,Contabilidad,Relaciones Institucionales y Humanas"
Universidad del Norte Santo Tomás de Aquino,Universidad del Norte Santo Tomás de Aquino,9 de Julio 165,http://apis.datos.gob.ar/georef/api/direcciones?direccion=9 de Julio 165,"-26.832849,-65.2075185",,,,,,,,,,,,,,,,,,,,,,-26.832849,-65.2075185,90084.0,Capital,-26.832849,-65.2075185,900014.0,Municipalidad de San Miguel De Tucuman,90,Tucumán,"Tecnologia,Educación,Ingeniería,Sociales,Economicas,Arte,Religion,Psicologia,Naturales,Derecho,Salud","Formacion Docente para el nivel medio y/o superíor Universitario y no Universitario,Filosofia,Administración de Empresas Agropecuarias,Ciencia Politica,Logística y Transportes,Notariado,Ciencias del Ambiente y Recursos Naturales,Higiene y Seguridad Industrial,Ciencias de la Educación,Turismo y Hotelería,Periodismo,Formación Docente para el nivel medio y/o superior universitario y no universitario - Ciencias Humanas,Computación, Sistemas e Informática,Contador Publico Nacional,Radiología y Diagnóstico por Imágenes,Teología,Comunicacion Social,Locucion,Ingeniería en Sistemas,Logistica y Transportes,Comercializacion y Marketing,Psicologia,Terapia Ocupacional,Diseño Grafico,Contador Público Nacional,Teologia,Administración Hotelera,Ingeniería Industrial,Psicología,Educación Básica,Turismo y Hoteleria,Formación Docente para el nivel medio y/o superior universitario y no universitario - Ciencias Sociales,Nutrición,Gestion y Administración de Empresas,Derecho y Ciencias Jurídicas,Gestión y Administración de Empresas,Ciencia Política,Comercialización y Marketing,Formacion Docente para el nivel medio y/o superíor Universitario y no,Nutricion,Locución,Abogacía,Filosofía,Derecho y Ciencias Juridicas,Comunicación Social,Radiologia y Diagnostico por Imagenes,Diseño Gráfico,Abogacia,Relaciones Institucionales y Humanas"
Universidad del Salvador,Universidad del Salvador,Av. Córdoba 1601,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Córdoba 1601&provincia=2,"-34.5994421892955,-58.3896679387133",,,,,,,,,,,,,,,,,,,,,,-34.5994421892955,-58.389667938713295,2014.0,Comuna 2,-34.5994421892955,-58.389667938713295,,,02,Ciudad Autónoma de Buenos Aires,"Tecnologia,Salud,Educación,Ingeniería,Sociales,Arte,Psicologia,Idiomas,Naturales,Deporte,Derecho,Otros,Arquitectura,Economicas","Odontologia,Sociología,Otros Idiomas,Produccion Animal,Computación, Sistemas e Informática,Ingeniería en Sistemas,Comercializacion y Marketing,Martillero Público,Dermatología y Podología,Economía,Carrera No Definida,Ingeniería Industrial,Psicología,Kinesiología,Artes Plásticas,Publicidad,Períodismo,Relaciones Publicas,Ciencia Política,Comercialización y Marketing,Administración y Gestión Cultural,Relaciones Públicas,Ingeniería Agronomica,Relaciones Laborales,Geografía,Inglés,Artes Audiovisuales,Tecnologia e Ingeniería en Alimentos,Higiene y Seguridad Industrial,Salud Pública,Contador Publico Nacional,Radiología y Diagnóstico por Imágenes,Enfermería,Teología,Marketing y Comercialización,Teatro y Danza,Tecnología e Ingeniería en Alimentos,Contador Público Nacional,Arquitectura y Urbanismo,Administración Pública,Accidentología,Nutricion,Medicina,Ingles,Martillero Publico,Marketing y Comercializacion,Odontología,Economia,Italiano,Artes Plasticas,Filosofia,Ciencia Politica,Fonoaudiología,Turismo y Hotelería,Comercio Internacional,Ingeniería Forestal e Industrias de la Madera,Finanzas y Negocios,Fonoaudiologia,Producción Animal,Turismo y Hoteleria,Actuarío,Trabajo Social,Geografia,Gestion y Administración de Empresas,Psicopedagogía,Actividad Fisica y Deportes,Musica,Abogacia,Servicio Social,Música,Ciencias del Ambiente y Recursos Naturales,Comercio Exteríor,Notariado,Ciencias de la Educación,Educación Fisica y Deportes,Letras,Educación Especial,Periodismo,Accidentologia,Historia,Comercio Exterior,Veterinaria,Educación Basica,Psicologia,Diseño Grafico,Terapia Ocupacional,Enfermeria,Nutrición,Gestión y Administración de Empresas,Derecho y Ciencias Jurídicas,Educación Inicial,Dermatologia y Podologia,Relaciones Internacionales,Psicopedagogia,Actuario,Abogacía,Filosofía,Derecho y Ciencias Juridicas,Actividad Física y Deportes,Comunicación Social,Ingeniería Agronómica,Radiologia y Diagnostico por Imagenes,Diseño Gráfico,Sociologia,Criminología,Contabilidad"
Universidad Empresarial Siglo 21,Universidad Empresarial Siglo 21,De los Latinos 8555,http://apis.datos.gob.ar/georef/api/direcciones?direccion=De los Latinos 8555,"-31.3279965,-64.2286782",,,,,,,,,,,,,,,,,,,,,,-31.3279965,-64.2286782,14014.0,Capital,-31.3279965,-64.2286782,140077.0,Córdoba,14,Córdoba,"Tecnologia,Educación,Sociales,Arte,Psicologia,Idiomas,Naturales,Derecho,Policial,Arquitectura,Economicas","Inglés,Administración de Empresas Agropecuarias,Ciencia Politica,Ciencias del Ambiente y Recursos Naturales,Comercio Exteríor,Sociologia,Higiene y Seguridad Industrial,Ciencias de la Educación,Sociología,Turismo y Hotelería,Periodismo,Computación, Sistemas e Informática,Contador Publico Nacional,Comercio Exterior,Administración Hospitalaria y de Sistemas de Salud,Diseño Textil y de Indumentaria,Marketing y Comercialización,Comercio Internacional,Ingeniería en Sistemas,Comercializacion y Marketing,Martillero Público,Psicologia,Diseño Grafico,Finanzas y Negocios,Economía,Contador Público Nacional,Administración Hotelera,Administración y Gestión Ambiental,Ingeniería Industrial,Psicología,Turismo y Hoteleria,Publicidad,Períodismo,Relaciones Publicas,Administración Pública,Gestion y Administración de Empresas,Derecho y Ciencias Jurídicas,Gestión y Administración de Empresas,Criminologia,Ciencia Política,Comercialización y Marketing,Relaciones Internacionales,Ingles,Abogacía,Diseño Industrial,Derecho y Ciencias Juridicas,Criminología,Martillero Publico,Marketing y Comercializacion,Relaciones Públicas,Diseño Gráfico,Relaciones Laborales,Economia,Abogacia,Contabilidad,Relaciones Institucionales y Humanas"
Universidad Favaloro,Universidad Favaloro,Av. Entre Ríos 495,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Entre Ríos 495&provincia=2," -34.614872720152945, -58.39167679293044",,,,,,,,,,,,,,,,,,,,,,-34.614872720152945,-58.39167679293044,2021.0,Comuna 3,-34.614872720152945,-58.39167679293044,,,02,Ciudad Autónoma de Buenos Aires,"Salud,Tecnologia","Enfermería,Radiología y Diagnóstico por Imágenes,Psicología,Kinesiología,Ingeniería Química,Ingeniería en Sistemas,Nutrición,Ingeniería Básica,Psicopedagogía,Odontología,Biología,Bioingeniería,Administración Hospitalaria y de Sistemas de Salud,Medicina"
Universidad Gastón Dachary,Universidad Gastón Dachary,"Salta 1912, posadas","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Salta 1912, posadas","-27.3706143,-55.9352656",,,,,,,,,,,,,,,,,,,,,,-27.3706143,-55.935265599999994,54028.0,Capital,-27.3706143,-55.935265599999994,540119.0,Posadas,54,Misiones,"Tecnologia,Salud,Educación,Sociales,Arte,Psicologia,Naturales,Derecho,Arquitectura,Economicas","Formacion Docente para el nivel medio y/o superíor Universitario y no Universitario,Ciencia Politica,Comercio Exteríor,Administración Publica,Higiene y Seguridad Industrial,Notariado,Educación Fisica y Deportes,Turismo y Hotelería,Computación, Sistemas e Informática,Contador Publico Nacional,Comercio Exterior,Kinesiologia,Formacion Docente de Nivel Superíor y Universitario,Ingeniería en Sistemas,Comercializacion y Marketing,Diseño Grafico,Formación Docente para el nivel medio y/o superior universitario y no universitario - Ciencias Aplicadas,Contador Público Nacional,Turismo y Hoteleria,Kinesiología,Produccion e Ingeniería Agropecuaria,Nutrición,Administración Pública,Gestion y Administración de Empresas,Derecho y Ciencias Jurídicas,Psicopedagogía,Gestión y Administración de Empresas,Ciencia Política,Comercialización y Marketing,Formacion Docente para el nivel medio y/o superíor Universitario y no,Producción e Ingeniería Agropecuaria,Nutricion,Psicopedagogia,Educación Física y Deportes,Formación Docente de Nivel Superior y Universitario,Abogacía,Diseño Industrial,Diseño Gráfico,Abogacia"
Universidad ISALUD,Universidad ISALUD,Venezuela 847,,"-34.6139929,-58.3804476",,,,,,,,,,,,,,,,,,,,,,-34.6139929,-58.380447600000004,2007.0,Comuna 1,-34.6139929,-58.380447600000004,,,02,Ciudad Autónoma de Buenos Aires,"Educación,Economicas,Naturales,Exactas,Salud","Salud Publica,Higiene y Seguridad Industrial,Ciencias de la Educación,Educación Fisica y Deportes,Salud Pública,Administración Hospitalaria y de Sistemas de Salud,Kinesiologia,Enfermería,Radiología y Diagnóstico por Imágenes,Farmacia,Enfermeria,Carrera No Definida,Kinesiología,Nutrición,Gestion y Administración de Empresas,Gestión y Administración de Empresas,Nutricion,Medicina,Educación Física y Deportes,Servicio Social"
Universidad Juan Agustín Maza,Universidad Juan Agustín Maza,Lateral Sur del Acceso Este 2245,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Lateral Sur del Acceso Este 2245,"-32.95403678084001,-68.83214028295434",,,,,,,,,,,,,,,,,,,,,,-32.95403678084001,-68.83214028295434,50021.0,Godoy Cruz,-32.95403678084001,-68.83214028295434,500021.0,Godoy Cruz,50,Mendoza,"Tecnologia,Educación,Ingeniería,Sociales,Economicas,Arte,Naturales,Derecho,Salud","Formacion Docente para el nivel medio y/o superíor Universitario y no Universitario,Artes Audiovisuales,Administración de Empresas Agropecuarias,Ciencias del Ambiente y Recursos Naturales,Tecnologia e Ingeniería en Alimentos,Bioquímica,Ciencias de la Educación,Educación Fisica y Deportes,Periodismo,Computación, Sistemas e Informática,Contador Publico Nacional,Kinesiologia,Comunicacion Social,Locucion,Ingeniería en Agrimensura,Veterinaria,Formacion Docente de Nivel Superíor y Universitario,Teatro y Danza,Enología y Frutihorticultura,Terapia Ocupacional,Farmacia,Dermatología y Podología,Tecnología e Ingeniería en Alimentos,Contador Público Nacional,Enologia y Frutihorticultura,Kinesiología,Publicidad,Períodismo,Nutrición,Gestion y Administración de Empresas,Gestión y Administración de Empresas,Dermatologia y Podologia,Nutricion,Medicina,Educación Física y Deportes,Formación Docente de Nivel Superior y Universitario,Locución,Comunicación Social,Bioquimica,Relaciones Laborales,Abogacia,Contabilidad,Relaciones Institucionales y Humanas"
Universidad Maimónides,Universidad Maimónides,Hidalgo 775,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Hidalgo 775&provincia=2,"-34.61053895477871,-58.44103541301811",,,,,,,,,,,,,,,,,,,,,,-34.61053895477871,-58.44103541301811,2042.0,Comuna 6,-34.61053895477871,-58.44103541301811,,,02,Ciudad Autónoma de Buenos Aires,"Tecnologia,Educación,Sociales,Economicas,Arte,Psicologia,Naturales,Derecho,Otros,Salud","Formacion Docente para el nivel medio y/o superíor Universitario y no Universitario,Filosofia,Artes Audiovisuales,Odontologia,Ciencia Politica,Geriatria y Gerontologia,Óptica,Administración Publica,Bioquímica,Ciencias de la Educación,Educación Fisica y Deportes,Turismo y Hotelería,Periodismo,Formación Docente para el nivel medio y/o superior universitario y no universitario - Ciencias Humanas,Computación, Sistemas e Informática,Biología,Historia,Contador Publico Nacional,Administración Hospitalaria y de Sistemas de Salud,Instrumentación Quirúrgica,Kinesiologia,Radiología y Diagnóstico por Imágenes,Enfermería,Sanidad y Saneamiento Ambiental,Música,Ingeniería en Sistemas,Instrumentacion Quirurgica,Comercializacion y Marketing,Martillero Público,Psicologia,Farmacia,Enfermeria,optica,Dermatología y Podología,Quirofano,Contador Público Nacional,Carrera No Definida,Administración y Gestión Ambiental,Psicología,Turismo y Hoteleria,Kinesiología,Trabajo Social,Períodismo,Nutrición,Administración Pública,Gestion y Administración de Empresas,Biologia,Gestión y Administración de Empresas,Ciencia Política,Comercialización y Marketing,Bioingeniería,Dermatologia y Podologia,Relaciones Internacionales,Formacion Docente para el nivel medio y/o superíor Universitario y no,Nutricion,Medicina,Educación Física y Deportes,Abogacía,Filosofía,Comunicación Social,Quirófano,Geriatría y Gerontología,Bioquimica,Musica,Odontología,Radiologia y Diagnostico por Imagenes,Relaciones Laborales,Abogacia,Contabilidad,Relaciones Institucionales y Humanas"
Universidad Metropolitana para la Educación y el Trabajo,Universidad Metropolitana para la Educación y el Trabajo,Sarmiento 2037,,"-34.6058,-58.3979779",,,,,,,,,,,,,,,,,,,,,,-34.6058,-58.3979779,2021.0,Comuna 3,-34.6058,-58.3979779,,,02,Ciudad Autónoma de Buenos Aires,,
Universidad Nacional Arturo Jauretche,Universidad Nacional Arturo Jauretche,Calchaquí 6200,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Calchaquí 6200&provincia=6,"-34.7751429,-58.2701046",,,,,,,,,,,,,,,,,,,,,,-34.7751429,-58.270104599999996,6274.0,Florencio Varela,-34.7751429,-58.270104599999996,60274.0,Florencio Varela,06,Buenos Aires,"Tecnologia,Ingeniería,Sociales,Economicas,Psicologia,Naturales,Salud","BioIngeniería,Administración de Empresas Agropecuarias,Logística y Transportes,Ciencias del Ambiente y Recursos Naturales,Bioquímica,Computación, Sistemas e Informática,Accidentologia,Kinesiologia,Enfermería,Logistica y Transportes,Farmacia,Enfermeria,Economía,Quirofano,Ingeniería Industrial,Kinesiología,Trabajo Social,Produccion e Ingeniería Agropecuaria,Ingeniería Geodesta Geofisica, Nuclear, Energetica y en Petróleo,Gestion y Administración de Empresas,Gestión y Administración de Empresas,Ciencia Política,Ingeniería Electromecánica,Accidentología,Bioingeniería,Producción e Ingeniería Agropecuaria,Medicina,Quirófano,Bioquimica,Economia,Ingeniería Geodesta Geofísica, Nuclear, Energética y en Petróleo,Relaciones Laborales"
