"Universidad de San Isidro ""Dr. Placido Marin""","Universidad de San Isidro ""Dr. Placido Marin""","Av. del Libertador 17175","","-34.4617796,-58.5203287","","","","","","","","","","","","","","","","","","","","",""
"Universidad del Aconcagua","Universidad del Aconcagua","Catamarca 147","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Catamarca 147&provincia=50","-32.889702977248035,-68.836339205674","","","","","","","","","","","","","","","","","","","","",""
"Universidad del CEMA","Universidad del CEMA","Av. Cordoba 374","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Cordoba 374&provincia=2","-34.598493489787174,-58.37246198342438","","","","","","","","","","","","","","","","","","","","",""
"Universidad del Centro Educativo Latinoamericano","Universidad del Centro Educativo Latinoamericano","Av. Pellegrini 1332","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Pellegrini 1332&provincia=82","-32.9565784932488,-60.6441042488731","","","","","","","","","","","","","","","","","","","","",""
"Universidad del Cine","Universidad del Cine","Dr. Jose Modesto Giuffra 330","","-34.617846,-58.3728309","","","","","","","","","","","","","","","","","","","","",""
"Universidad del Congreso","Universidad del Congreso","Maipu 942","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Maipu 942&provincia=2","-34.597041549129365,-58.37693167637579","","","","","","","","","","","","","","","","","","","","",""
"Universidad del Este","Universidad del Este","Calle 2 684","","-34.9072705,-57.9504423","","","","","","","","","","","","","","","","","","","","",""
"Universidad del Museo Social Argentino","Universidad del Museo Social Argentino","Av. Corrientes 1723","","-34.6047031,-58.3922666","","","","","","","","","","","","","","","","","","","","",""
"Universidad del Norte Santo Tomas de Aquino","Universidad del Norte Santo Tomas de Aquino","9 de Julio 165","http://apis.datos.gob.ar/georef/api/direcciones?direccion=9 de Julio 165","-26.832849,-65.2075185","","","","","","","","","","","","","","","","","","","","",""
"Universidad del Salvador","Universidad del Salvador","Av. Cordoba 1601","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Cordoba 1601&provincia=2","-34.5994421892955,-58.3896679387133","","","","","","","","","","","","","","","","","","","","",""
"Universidad Empresarial Siglo 21","Universidad Empresarial Siglo 21","De los Latinos 8555","http://apis.datos.gob.ar/georef/api/direcciones?direccion=De los Latinos 8555","-31.3279965,-64.2286782","","","","","","","","","","","","","","","","","","","","",""
"Universidad Favaloro","Universidad Favaloro","Av. Entre Rios 495","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Entre Rios 495&provincia=2"," -34.614872720152945, -58.39167679293044","","","","","","","","","","","","","","","","","","","","",""
"Universidad Gaston Dachary","Universidad Gaston Dachary","Salta 1912, posadas","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Salta 1912, posadas","-27.3706143,-55.9352656","","","","","","","","","","","","","","","","","","","","",""
"Universidad ISALUD","Universidad ISALUD","Venezuela 847","","-34.6139929,-58.3804476","","","","","","","","","","","","","","","","","","","","",""
